Date,Cashflow
08/05/2023,-160.45
09/05/2023,-160.45
10/05/2023,-160.45
11/05/2023,-160.45
12/05/2023,-160.45
15/05/2023,-160.45
16/05/2023,-160.45
17/05/2023,-160.45
18/05/2023,-160.45
19/05/2023,-160.45
22/05/2023,-160.45
23/05/2023,-160.45
24/05/2023,-160.45
25/05/2023,-160.45
26/05/2023,-160.45
29/05/2023,-160.45
30/05/2023,-160.45
31/05/2023,-160.45
01/06/2023,-160.45
02/06/2023,-160.45
05/06/2023,-160.45
06/06/2023,-160.45
07/06/2023,-160.45
08/06/2023,-160.45
09/06/2023,-160.45
12/06/2023,-160.45
13/06/2023,-160.45
14/06/2023,-160.45
15/06/2023,-160.45
16/06/2023,-160.45
19/06/2023,-160.45
20/06/2023,-160.45
21/06/2023,-160.45
22/06/2023,-160.45
23/06/2023,394.15
26/06/2023,394.15
27/06/2023,394.15
28/06/2023,394.15
30/06/2023,394.15
03/07/2023,-191.30
04/07/2023,-780.55
05/07/2023,-1371.15
06/07/2023,-1371.15
07/07/2023,-1371.15
10/07/2023,-1371.15
11/07/2023,-1371.15
12/07/2023,-1371.15
13/07/2023,-1371.15
14/07/2023,-1371.15
17/07/2023,-1371.15
18/07/2023,-1371.15
19/07/2023,-1371.15
20/07/2023,-1371.15
21/07/2023,-1371.15
24/07/2023,-1371.15
25/07/2023,-1371.15
26/07/2023,-1371.15
27/07/2023,-1371.15
28/07/2023,-1371.15
31/07/2023,-1371.15
01/08/2023,-1371.15
02/08/2023,-1371.15
03/08/2023,-1371.15
04/08/2023,-1371.15
07/08/2023,-803.25
08/08/2023,-803.25
09/08/2023,-803.25
10/08/2023,-803.25
11/08/2023,-803.25
14/08/2023,-803.25
16/08/2023,-803.25
17/08/2023,-803.25
18/08/2023,-803.25
21/08/2023,-803.25
22/08/2023,-803.25
23/08/2023,-803.25
24/08/2023,-803.25
25/08/2023,-803.25
28/08/2023,-803.25
29/08/2023,-803.25
30/08/2023,-803.25
31/08/2023,-803.25
01/09/2023,-803.25
04/09/2023,-803.25
05/09/2023,-803.25
06/09/2023,-803.25
07/09/2023,-803.25
08/09/2023,-803.25
11/09/2023,-803.25
12/09/2023,-803.25
13/09/2023,-803.25
14/09/2023,-803.25
15/09/2023,-803.25
18/09/2023,-803.25
20/09/2023,-803.25
21/09/2023,-803.25
22/09/2023,-803.25
25/09/2023,-803.25
26/09/2023,-803.25
27/09/2023,-803.25
28/09/2023,-803.25
29/09/2023,-803.25
03/10/2023,-803.25
04/10/2023,-803.25
05/10/2023,-803.25
06/10/2023,-803.25
09/10/2023,-803.25
10/10/2023,-803.25
11/10/2023,-803.25
12/10/2023,-803.25
13/10/2023,-803.25
16/10/2023,-803.25
17/10/2023,-803.25
18/10/2023,-803.25
19/10/2023,-803.25
20/10/2023,-803.25
23/10/2023,-803.25
25/10/2023,-803.25
26/10/2023,-803.25
27/10/2023,-803.25
30/10/2023,-803.25
31/10/2023,-803.25
01/11/2023,-803.25
02/11/2023,-1375.35
03/11/2023,-1375.35
06/11/2023,-1375.35
07/11/2023,-1375.35
08/11/2023,-1375.35
